City_Name,Population,Infected
Jerusalem,914559,1630
Bnei Brak,195298,1594
Tel Aviv - Yafo,450192,415
Ashkelon,139032,216
El'ad,46760,215
Petah Tikva,242478,190
Rishon Lezion,241010,180
Modi'in Illit,73808,174
Beit Shemesh,120812,169
Ashdod,225073,160
Netanya,213971,149
Holon,185741,128
Be'er Sheva,196755,127
Ramat Gan,143370,126
Tiberias,44353,119
Haifa,272584,118
Bat Yam,130523,114
Modi'in-Maccabim-Re'ut,87108,112
Beitar Illit,59240,103
Or Yehuda,34843,102
Migdal HaEmek,26058,92
Herzliya,90900,85
Ra'anana,73979,83
Rehovot,137178,80
Efrat,10676,64
Yehud-Monosson,29104,63
Kfar Saba,97412,63
Afula,50886,54
Lod,75038,52
Zefat,35671,48
Ramla,75246,48
Kiryat Ono,37112,46
Kfar Habad,6724,43
Kokhav Ya'akov,8602,42
Kiryat Malakhi,23691,42
Kiryat Ye'arim,5713,38
Shoham,20041,35
Ramat HaSharon,44896,34
Hod HaSharon,59171,33
Ma'ale Adumim,37469,33
Kiryat Gat,55400,32
Giv'at Shmuel,24538,31
Netivot,36511,31
Rosh Ha'ayin,53965,30
Givatim,55123,29
Ofakim,30185,28
Yavne,45555,28
Rechasim,11841,28
Nahariya,58750,27
Sderot,25891,27
Azur,11819,26
Zikhron Ya'akov,22341,26
Carmiel,46596,26
Jasser a-Zarqa,14732,25
Ganei Tiqva,18930,25
Dimona,35377,25
Hadera,94104,25
Even Yehuda,13263,24
Nof Ha'Galil,43811,24
Gan Yavne,22410,23
Umm el-Fahm,55324,22
Gedera,24633,21
Kiryat Yam,39556,21
Be'er Ya'akov,24216,17
Giv'at Ze'ev,18510,17
Kiryat Ata,57108,17
Daburiyya,10414,16
Acre,50872,16
Tamra,33792,15
Ness Ziona,45714,15
Eilat,56568,14
Tirat Carmel,22243,14
Kfar Yona,21301,14
Baqa al-Gharbiya,29035,13
Jatt,11910,13
Yokneam,22711,13
Mevaseret Zion,23093,13
Kadima Zoran,20831,13
Katzrin,7373,13
Tel Mond,12593,13
Arad,26763,12
Kiryat Arba,7364,11
Kiryat Bialik,39262,11
Mazkeret Batya,14949,10
Ma'alot-Tarshiha,22261,10
Omer,8016,10
Kiryat Shmona,22152,10
ShibliUmm al-Ghanam,6367,10
Taibe,43144,9
Nazareth,78252,9
Deir Hanna,10567,8
Kokhav Ya'ir,9143,8
Kuseife,16957,7
Maghar,22364,7
Pardes Hanna-Karkur,40622,7
Kiryat Motzkin,42870,7
Kiryat Ekron,10600,7
Rahat,64649,7
Iksal,14655,6
Lehavim,6178,6
Sakhnin,32089,6
Karnei Shomron,7906,6
Or Akiva,18893,5
Alfei Menashe,7771,5
Ariel,18251,5
Bir al-Maksur,9866,5
Geva Binyamin,5299,5
Nesher,22032,5
Shlomi,6478,5
Beit Dagan,6533,4
Bnei Aish,6837,4
Harish,8737,4
Kafr Qasim,23517,4
Ma'ale Iron,14861,4
Tzur Hadassah,7856,4
Tzur Itzhak,5954,4
Beit El,5767,3
Jaljulia,10011,3
Tiraa,26184,3
Yafa an-Naseriyye,19056,3
Meiter,9043,3
Eilabun,5677,3
Ein Mahil,13388,3
Oranit,8822,2
Boina-Nujidat,9974,2
Buq'ata,6586,2
Binyamina-Givat Ada,14383,2
Basmaa,10532,2
Basmat Tab'un,7833,2
Jedida-bestseller,20524,2
Jules,6147,2
Hatzor HaGlilit,9722,2
Kfar Vradim,5599,2
Kafr Yasif,10577,2
Kafr Kanna,22449,2
Kafr Qara,18820,2
Atlit,7442,2
Kiryat Tiv'on,15831,2
Ramat Yishai,7236,2
Shefa-'Amr,40666,2
Abu Ghosh,7792,1
Abu Rubiya (tribe),8446,1
Bena,8355,1
Bat Hefer,5124,1
Deir al-Assad,12435,1
Singer,6926,1
Winterfish,6288,1
Tuba-Zangaria,6648,1
Jeruham,10126,1
Majdal Shams,11089,1
Masudin al-Azazma,16644,1
Nahaf,13167,1
Esfia,12141,1
Araba,25876,1
Arara-Negev,17465,1
Pardesia,6027,1
Caesarea,5272,1
Clansua,22740,1
Gates of Hope,5584,1
Tel Sheva,19850,1
