"Actual ** to 100,000",Of verified patients,In the last 3 days,A number of recoverers,Verified Petients,Number of subjects,Population as of 2018,City
"1,202.78",24.4%,6.7%,467,"2,349","11,503","195,298",Bnei Brak
796.14,1137.5%,160.5%,2,99,"2,691","12,435",Dyer al-Assad
686.48,26.9%,6.3%,59,321,"2,283","46,760",El'ad
685.89,5.4%,1.7%,8,59,334,"8,602",Kokhav Ya'akov
682.65,0.0%,0.0%,24,39,433,"5,713",Kiryat Ye'arim
669.24,2.3%,2.3%,29,45,247,"6,724",Kfar Habad
599.48,0.0%,0.0%,37,64,681,"10,676",Efrat
480.87,9.1%,0.0%,13,24,197,"4,991",Mitzpe Ramon
393.32,44.7%,11.0%,28,233,"1,526","59,240",Beitar Illit
390.20,32.1%,8.3%,42,288,"1,767","73,808",Modi'in Illit
387.60,2.0%,1.0%,53,101,"1,026","26,058",Migdal HaEmek
375.97,12.0%,4.8%,41,131,"1,667","34,843",Or Yehuda
344.96,15.0%,3.4%,46,153,"1,900","44,353",Tiberias
320.92,18.8%,5.6%,10,38,274,"11,841",Rechasim
292.16,27.7%,7.9%,405,"2,672","26,943","914,559",Jerusalem
268.87,21.7%,0.0%,4,28,784,"10,414",Daburiyya
264.05,51.2%,14.7%,43,319,"2,691","120,812",Beit Shemesh
257.94,18.8%,2.7%,5,38,"1,296","14,732",Jasser a-Zarqa
253.83,7.1%,0.0%,10,30,411,"11,819",Azur
249.04,28.3%,5.4%,30,59,539,"23,691",Kiryat Malakhi
240.52,7.7%,0.0%,37,70,"1,072","29,104",Yehud
222.18,550.0%,30.0%,0,13,518,"5,851",Pekiin
220.84,83.3%,22.2%,1,11,154,"4,981",Beit Aryeh-Ofarim
217.01,14.3%,0.0%,4,16,163,"7,373",Katzrin
215.44,1700.0%,100.0%,1,18,874,"8,355",Bi'ina
208.08,50.0%,0.0%,1,12,132,"5,767",Beit El
203.57,8.0%,0.0%,11,27,350,"13,263",Even Yehuda
200.74,18.8%,8.6%,14,38,673,"18,930",Ganei Tikva
199.04,29.1%,2.9%,27,71,792,"35,671",Zefat
194.6,5.4%,0.0%,24,39,747,"20,041",Shoham
193.12,27.8%,0.0%,3,23,737,"11,910",Jatt
189.09,52.2%,2.9%,6,35,588,"18,510",Giv'at Ze'ev
188.71,42.9%,11.1%,1,10,137,"5,299",Geva Binyamin
183.51,97.1%,36.7%,12,67,879,"36,511",Netivot
180.53,10.1%,-9.4%,141,251,"4,302","139,032",Ashkelon
176.53,8.3%,0.0%,5,13,245,"7,364",Kiryat Arba
170.09,8.6%,5.6%,12,38,523,"22,341",Zikhron Ya'akov
158.94,11.4%,2.6%,14,39,734,"24,538",Giv'at Shmuel
157.06,0.0%,0.0%,2.0,10.0,229,"6,367",Shibli–Umm al-Ghanam
142.81,8.2%,1.9%,26.0,53.0,"1,232","37,112",Gene Kiryat Ono
142.45,30.3%,13.2%,14.0,43.0,792,"30,185",Ofakim
142.35,4.2%,0.8%,66.0,124.0,"3,016","87,108",Maccabim
138.93,12.5%,0.0%,3.0,9.0,178,"6,478",Reut Shlomi
137.23,0.0%,0.0%,5.0,11.0,269,"8,016",Omer
133.82,8.8%,2.1%,51.0,99.0,"2,339","73,979",Ra'anana
131.25,33.3%,9.1%,5.0,12.0,310,"9,143",Kokhav Ya'ir
127.74,16.1%,4.8%,25.0,65.0,"1,382","50,886",Afula
126.41,20.4%,5.8%,67.0,165.0,"3,302","130,523",Bat Yam
123.3,40.0%,16.7%,2.0,7.0,161,"5,677",Eilabun
120.48,8.0%,0.0%,19.0,27.0,630,"22,410",Gan Yavne
119.73,6.9%,6.9%,16.0,31.0,702,"25,891",Sderot
113.31,16.7%,16.7%,4.0,7.0,236,"6,178",Lehavim
112.99,14.9%,2.5%,60.0,162.0,"5,348","143,370",Ramat Gan
112.41,41.3%,9.1%,97.0,253.0,"5,216","225,073",Ashdod
111.95,10.0%,3.3%,237.0,504.0,"13,578","450,192",Tel Aviv - Yafo
111.17,0.0%,0.0%,9.0,14.0,318,"12,593",Tel Mond
110.61,27.7%,5.1%,28.0,83.0,"1,734","75,038",Lod
109.42,5.1%,0.0%,13.0,41.0,"1,255","37,469",Ma'ale Adumim
106.71,3.2%,1.0%,48.0,97.0,"2,605","90,900",Herzliya
106.64,22.9%,1.7%,11.0,59.0,"1,920","55,324",Umm el-Fahm
104.1,10.0%,10.0%,4.0,11.0,357,"10,567",Deir Hanna
101.49,19.0%,4.2%,14.0,25.0,655,"24,633",Gedera
101.19,0.0%,0.0%,4.0,8.0,145,"7,906",Karnei Shomron
100.22,11.5%,1.7%,100.0,243.0,"6,107","242,478",Petah Tikva
98.00,12.8%,4.8%,26,44,"1,259","44,896",Ramat HaSharon
96.57,21.6%,2.3%,14,45,"1,276","46,596",Carmiel
94.34,11.1%,0.0%,7,10,244,"10,600",Kiryat Ekron
94.22,15.1%,5.4%,65,175,"5,177","185,741",Holon
90.85,22.2%,4.8%,8,22,689,"24,216",Be'er Ya'akov
89.62,6.9%,1.9%,113,216,"6,804","241,010",Rishon Lezion
89.04,15.5%,8.1%,22,67,"1,763","75,246",Ramla
