Number of active patients (without recovering and deceased),A number of recoverers,Total verified,Population as of 2018,Settlement
"2,341",671.0,"3,061","914,559",Jerusalem
"1,753",817.0,"2,588","195,298",Bnei Brak
202,280.0,491,"450,192",Tel Aviv - Yafo
320,70.0,392,"120,812",Beit Shemesh
243,111.0,354,"46,760",El'ad
252,83.0,335,"73,808",Modi'in Illit
140,114.0,255,"225,073",Ashdod
100,152.0,254,"139,032",Ashkelon
112,138.0,254,"242,478",Petah Tikva
189,52.0,241,"59,240",Beitar Illit
86,121.0,211,"241,010",Rishon Lezion
79,91.0,173,"213,971",Netanya
86,79.0,173,"143,370",Ramat Gan
83,81.0,169,"185,741",Holon
73,76.0,163,"196,755",Be'er Sheva
84,72.0,162,"44,353",Tiberias
72,76.0,161,"130,523",Bat Yam
87,58.0,148,"272,584",Haifa
76,59.0,136,"34,843",Or Yehuda
129,3.0,132,"12,435",Dyer al-Assad
60,68.0,132,"73,979",Ra'anana
46,68.0,116,"137,178",Rehovot
43,69.0,112,"87,108",Maccabim
34,64.0,100,"90,900",Herzliya
25,73.0,100,"26,058",Migdal HaEmek
42,40.0,84,"75,038",Lod
68,13.0,82,"36,511",Netivot
55,17.0,72,"55,324",Umm el-Fahm
28,40.0,69,"97,412",Kfar Saba
24,44.0,69,"29,104",Yehud
33,32.0,66,"35,671",Zefat
19,45.0,64,"10,676",Efrat
20,35.0,59,"50,886",Afula
31,26.0,57,"8,602",Kokhav Ya'akov
29,26.0,57,"75,246",Ramla
21,32.0,54,"24,633",Gedera
21,29.0,50,"23,691",Kiryat Malakhi
35,14.0,49,"46,596",Carmiel
32,17.0,49,"37,469",Ma'ale Adumim
20,28.0,49,"37,112",Kiryat Ono
22,26.0,49,"94,104",Hadera
28,18.0,47,"55,400",Kiryat Gat
35,12.0,47,"64,649",Rahat
29,15.0,45,"53,965",Rosh Ha'ayin
26,18.0,44,"18,930",Ganei Tikva
32,11.0,43,"14,732",Jasser a-Zarqa
10,33.0,43,"6,724",Kfar Habad
11,30.0,42,"44,896",Ramat HaSharon
