"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Infected,Several subjects so far,Population as of 2018,City
"1,142",17,13.3%,3,145,"2,506","12,435",Dyer al-Assad
900,88,3.5%,877,"2,635","13,816","195,298",Bnei Brak
515,9,2.6%,120,361,"2,464","46,760",El'ad
349,1,1.8%,28,58,321,"8,602",Kokhav Ya'akov
345,26,8.0%,98,353,"2,319","73,808",Modi'in Illit
338,21,9.0%,55,255,"1,677","59,240",Beitar Illit
276,30,7.9%,76,410,"3,019","120,812",Beit Shemesh
263,0,0.0%,21,36,388,"5,713",Kiryat Ye'arim
262,145,4.8%,738,"3,136","33,430","914,559",Jerusalem
256,0,0.0%,0,15,233,"5,851",Pekiin
251,0,0.0%,1,22,891,"8,355",Bi'ina
230,2,1.5%,58,138,"1,695","34,843",Or Yehuda
210,0,0.0%,12,43,"1,128","14,732",Jasser a-Zarqa
200,0,0.0%,16,26,225,"4,991",Mitzpe Ramon
197,9,11.8%,13,85,"1,021","36,511",Netivot
194,13,38.2%,11,47,613,"18,510",Giv'at Ze'ev
192,3,1.9%,80,165,"2,587","44,353",Tiberias
191,0,0.0%,1,12,128,"5,767",Beit El
187,0,0.0%,44,64,692,"10,676",Efrat
186,1,3.0%,12,34,300,"11,841",Rechasim
151,1,11.1%,2,10,134,"5,299",Geva Binyamin
149,0,0.0%,4,15,148,"7,373",Katzrin
149,0,0.0%,33,43,213,"6,724",Kfar Habad
141,0,0.0%,3,10,148,"4,981",Beit Aryeh-Ofarim
137,0,0.0%,18,44,706,"18,930",Ganei Tikva
137,0,0.0%,4,16,289,"8,737",Harish
118,0,0.0%,9,23,629,"11,910",Jatt
115,0,0.0%,17,29,"1,041","10,414",Daburiyya
113,0,0.0%,15,30,639,"13,263",Even Yehuda
111,5,166.7%,0,8,"1,171","7,191","Sha'ab, Israel"
110,0,0.0%,17,30,429,"11,819",Azur
101,1,1.4%,17,73,"1,372","55,324",Umm el-Fahm
100,3,33.3%,2,12,333,"10,011",Jaljulia
98,0,0.0%,14,36,529,"22,341",Zikhron Ya'akov
95,0,0.0%,32,66,832,"35,671",Zefat
94,0,0.0%,3,9,139,"6,367",ShibliUmm al-Ghanam
92,0,0.0%,76,100,"1,037","26,058",Migdal HaEmek
89,0,0.0%,43,69,813,"29,104",Yehud
89,2,4.1%,30,51,516,"23,691",Kiryat Malakhi
88,22,110.0%,4,42,"1,338","43,144",Tayibe
86,1,2.6%,19,40,782,"24,538",Giv'at Shmuel
85,2,4.2%,18,50,"1,516","37,469",Ma'ale Adumim
85,1,1.9%,34,55,"1,320","24,633",Gedera
85,1,0.8%,69,132,"3,127","73,979",Ra'anana
83,2,4.9%,18,43,833,"30,185",Ofakim
81,0,0.0%,6,12,205,"7,364",Kiryat Arba
77,0,0.0%,2,7,194,"6,478",Shlomi
77,1,8.3%,6,13,281,"9,143",Kokhav Ya'ir
75,4,1.6%,154,258,"4,665","139,032",Ashkelon
69,0,0.0%,17,49,"1,405","46,596",Carmiel
69,1,11.1%,1,10,371,"13,133",Fureidis
66,0,0.0%,2,8,371,"9,043",Meiter
66,3,1.7%,80,175,"5,836","143,370",Ramat Gan
66.0,1.0,4.5%,7,23.0,712,"24,216",Be'er Ya'akov
65.0,0.0,0.0%,3,7.0,235,"6,178",Lehavim
63.0,3.0,1.2%,115,257.0,"6,029","225,073",Ashdod
62.0,0.0,0.0%,6,11.0,267,"8,016",Omer
62.0,2.0,1.2%,82,163.0,"3,444","130,523",Bat Yam
60.0,0.0,0.0%,23,35.0,732,"20,041",Shoham
57.0,1.0,1.2%,42,85.0,"1,882","75,038",Lod
57.0,0.0,0.0%,0,3.0,144,"5,272",Caesarea Maritima
56.0,2.0,4.7%,15,45.0,"1,689","53,965",Rosh Ha'ayin
54.0,4.0,9.1%,18,48.0,"1,203","55,400",Kiryat Gat
54.0,4.0,9.3%,12,47.0,"1,765","64,649",Rahat
54.0,1.0,3.3%,17,31.0,694,"25,891",Sderot
54.0,0.0,0.0%,29,49.0,"1,203","37,112",Kiryat Ono
53.0,0.0,0.0%,4,7.0,148,"5,677",Eilabun
51.0,1.0,6.3%,5,17.0,"1,000","23,517",Kafr Qasim
51.0,0.0,0.0%,0,5.0,102,"9,866",Bir al-Maksur
50.0,0.0,0.0%,1,4.0,155,"5,954",Tzur Itzhak
49.0,0.0,0.0%,2,7.0,207,"10,126",Yeruham
47.0,0.0,0.0%,35,59.0,"1,446","50,886",Afula
47.0,1.0,0.4%,143,256.0,"7,592","242,478",Petah Tikva
46.0,1.0,0.6%,84,170.0,"5,211","185,741",Holon
46.0,0.0,0.0%,72,112.0,"2,290","87,108",Maccabim
46.0,1.0,16.7%,1,7.0,427,"13,167",Reut Nahaf
45.0,1.0,0.2%,290,492.0,"11,793","450,192",Tel Aviv - Yafo
45.0,4.0,2.5%,78,166.0,"6,747","196,755",Be'er Sheva
44.0,0.0,0.0%,3,11.0,482,"18,251",Ariel
42,0,0.0%,7,16,540,"21,301",Kfar Yona
41,0,0.0%,4,15,432,"26,763",Arad
41,1,1.0%,64,101,"2,794","90,900",Herzliya
40,0,0.0%,3,9,274,"14,861",Ma'ale Iron
39,1,20.0%,0,6,625,"15,275",Majd al-Krum
39,0,0.0%,28,57,"1,787","75,246",Ramla
38,0,0.0%,91,173,"4,725","213,971",Netanya
38,0,0.0%,3,6,151,"7,906",Karnei Shomron
36,0,0.0%,1,3,119,"5,584",Sha'arei Tikva
34,0,0.0%,10,20,716,"29,035",Baqa al-Gharbiya
34,1,0.5%,129,212,"6,885","241,010",Rishon Lezion
34,0,0.0%,3,8,283,"14,655",Iksal
33,0,0.0%,0,4,751,"12,102","Kabul, Israel"
33,0,0.0%,22,37,"1,207","45,555",Yavne
33,0,0.0%,71,116,"3,972","137,178",Rehovot
32,0,0.0%,17,31,998,"43,811",Nof Ha'Galil
32,3,2.1%,62,149,"6,828","272,584",Haifa
32,0,0.0%,7,14,384,"22,152",Kiryat Shmona
31,0,0.0%,20,37,"1,641","55,123",Givatayim
30,1,33.3%,0,4,275,"13,164",Abu Snan
30,0,0.0%,12,24,815,"39,556",Kiryat Yam
30,1,20.0%,2,6,232,"13,388",Ein Mahil
30,0,0.0%,40,69,"2,603","97,412",Kfar Saba
