"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified patients discovered so far,Several subjects so far,Population as of 2018,City
"1,134",3,2.0%,9,150,"2,531","12,435",Dyer al-Assad
861,81,3.0%,"1,065","2,747","14,151","195,298",Bnei Brak
483,5,1.4%,145,371,"2,502","46,760",El'ad
339,15,5.9%,69,270,"1,721","59,240",Beitar Illit
337,23,6.5%,126,375,"2,443","73,808",Modi'in Illit
302,0,0.0%,32,58,331,"8,602",Kokhav Ya'akov
279,24,5.8%,99,436,"3,149","120,812",Beit Shemesh
257,132,4.2%,929,"3,279","35,540","914,559",Jerusalem
256,0,0.0%,-,15,245,"5,851",Pekiin
251,0,0.0%,1,22,908,"8,355",Bi'ina
205,4,4.7%,14,89,"1,055","36,511",Netivot
197,0,0.0%,14,43,"1,134","14,732",Jasser a-Zarqa
193,0,0.0%,25,36,390,"5,713",Kiryat Ye'arim
184,1,0.7%,74,138,"1,724","34,843",Or Yehuda
180,0,0.0%,17,26,225,"4,991",Mitzpe Ramon
173,0,0.0%,16,48,635,"18,510",Giv'at Ze'ev
162,1,0.6%,94,166,"2,625","44,353",Tiberias
160,0,0.0%,18,37,306,"11,841",Rechasim
150,0,0.0%,48,64,699,"10,676",Efrat
149,0,0.0%,4,15,151,"7,373",Katzrin
149,0,0.0%,4,17,295,"8,737",Harish
149,0,0.0%,33,43,218,"6,724",Kfar Habad
141,0,0.0%,3,10,157,"4,981",Beit Aryeh-Ofarim
139,0,0.0%,4,12,135,"5,767",Beit El
127,1,2.3%,21,45,722,"18,930",Ganei Tikva
115,0,0.0%,17,29,"1,045","10,414",Daburiyya
113,0,0.0%,4,10,143,"5,299",Geva Binyamin
112,16,533.3%,-,19,223,"16,983",Hura
111,0,0.0%,-,8,"1,205","7,191","Sha'ab, Israel"
101,1,1.4%,18,74,"1,396","55,324",Umm el-Fahm
100,0,0.0%,2,12,342,"10,011",Jaljulia
94,0,0.0%,15,36,537,"22,341",Zikhron Ya'akov
90,1,3.2%,20,32,649,"13,263",Even Yehuda
86,0,0.0%,5,42,"1,412","43,144",Tayibe
85,1,0.7%,74,137,"3,175","73,979",Ra'anana
84,0,0.0%,36,66,846,"35,671",Zefat
84,0,0.0%,13,23,632,"11,910",Jatt
81,0,0.0%,34,54,"1,333","24,633",Gedera
81,0,0.0%,79,100,"1,056","26,058",Migdal HaEmek
77,1,2.5%,22,41,801,"24,538",Giv'at Shmuel
75,0,0.0%,6,12,273,"8,016",Omer
75,1,2.0%,23,51,"1,588","37,469",Ma'ale Adumim
73,2,4.7%,23,45,853,"30,185",Ofakim
69,0,0.0%,1,10,373,"13,133",Fureidis
68,0,0.0%,165,260,"4,767","139,032",Ashkelon
68,0,0.0%,7,12,209,"7,364",Kiryat Arba
68,0,0.0%,22,30,437,"11,819",Azur
68,1,2.0%,36,52,538,"23,691",Kiryat Malakhi
66,0,0.0%,2,8,384,"9,043",Meiter
66,0,0.0%,7,13,285,"9,143",Kokhav Ya'ir
63,4,1.5%,127,269,"6,164","225,073",Ashdod
63,0,0.0%,5,9,141,"6,367",ShibliUmm al-Ghanam
62,5,10.6%,12,52,"1,831","64,649",Rahat
62,0,0.0%,52,70,830,"29,104",Yehud
61,2,1.1%,90,178,"5,920","143,370",Ramat Gan
60,1,2.0%,23,51,"1,471","46,596",Carmiel
60,0,0.0%,23,35,741,"20,041",Shoham
59,2,28.6%,3,9,213,"10,126",Yeruham
57,0,0.0%,88,163,"3,569","130,523",Bat Yam
57,0,0.0%,-,3,145,"5,272",Caesarea Maritima
56,1,2.1%,18,49,"1,241","55,400",Kiryat Gat
54,0,0.0%,10,23,725,"24,216",Be'er Ya'akov
53,6,75.0%,2,14,653,"22,449",Kafr Kanna
53,1,1.2%,46,86,"1,913","75,038",Lod
53,1,12.5%,2,9,447,"13,167",Nahaf
53,0,0.0%,4,7,156,"5,677",Eilabun
52,2,33.3%,-,8,966,"15,275",Majd al-Krum
51,0,0.0%,30,49,"1,232","37,112",Kiryat Ono
51,0,0.0%,5,17,"1,016","23,517",Kafr Qasim
51,0,0.0%,-,5,103,"9,866",Bir al-Maksur
50,0,0.0%,1,4,159,"5,954",Tzur Itzhak
48,0,0.0%,19,45,"1,727","53,965",Rosh Ha'ayin
43,3,1.1%,160,264,"7,751","242,478",Petah Tikva
43,0,0.0%,92,171,"5,352","185,741",Holon
41,2,1.2%,88,168,"6,869","196,755",Be'er Sheva
40,0,0.0%,3,9,278,"14,861",Ma'ale Iron
40,0,0.0%,317,496,"11,977","450,192",Tel Aviv - Yafo
39,0,0.0%,67,102,"2,914","90,900",Herzliya
38,0,0.0%,4,11,494,"18,251",Ariel
38,0,0.0%,13,28,886,"39,556",Kiryat Yam
38.0,0.0,0.0%,79,112.0,"2,345","87,108",Maccabim
38.0,1.0,10.0%,7,11.0,332,"10,567",Reut tenant Hanna
37.0,1.0,6.7%,6,16.0,440,"26,763",Arad
37.0,1.0,1.7%,41,60.0,"1,499","50,886",Afula
36.0,0.0,0.0%,1,3.0,126,"5,584",Sha'arei Tikva
36.0,0.0,0.0%,3,5.0,124,"5,599",Kfar Vradim
35.0,0.0,0.0%,22,31.0,706,"25,891",Sderot
34.0,0.0,0.0%,21,40.0,"1,670","55,123",Givatayim
34.0,0.0,0.0%,3,8.0,289,"14,655",Iksal
34.0,0.0,0.0%,101,174.0,"4,841","213,971",Netanya
33.0,0.0,0.0%,9,16.0,556,"21,301",Kfar Yona
32.0,0.0,0.0%,5,7.0,238,"6,178",Lehavim
32.0,2.0,1.3%,73,161.0,"6,976","272,584",Haifa
32.0,0.0,0.0%,10,14.0,699,"12,593",Tel Mond
31.0,0.0,0.0%,5,7.0,205,"6,478",Shlomi
31.0,2.0,5.4%,21,39.0,"1,935","58,750",Nahariya
