"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several subjects so far,Population as of 2018,City
796,0,0.0%,51,150,4306,12435,Dyer al-Assad
724,20,19.4%,0,123,1068,16983,Hura
538,11,0.4%,1814,2864,26885,195298,Bnei Brak
269,2,0.5%,261,387,4396,46760,El'ad
239,0,0.0%,14,34,1640,8355,Bi'ina
226,0,0.0%,10,19,238,3974,Ali
215,2,0.5%,250,409,4560,73808,Modi'in Illit
199,7,1.4%,255,496,5201,120812,Beit Shemesh
192,0,0.0%,10,18,218,4175,Yavneel
191,1,0.4%,172,285,2872,59240,Beitar Illit
178,1,1.1%,31,96,1629,36511,Netivot
169,11,0.3%,2036,3579,54459,914559,Jerusalem
160,0,0.0%,18,26,312,4991,Mitzpe Ramon
131,0,0.0%,50,64,1043,10676,Efrat
128,0,0.0%,48,59,587,8602,Kokhav Ya'akov
126,0,0.0%,5,16,344,8737,Harish
118,0,0.0%,26,40,500,11841,Rechasim
115,2,11.1%,0,20,683,17465,Ar'arat an-Naqab
113,1,0.6%,117,167,3620,44353,Tiberias
102,0,0.0%,28,43,2147,14732,Jasser a-Zarqa
98,0,0.0%,4,19,1821,15275,Majd al-Krum
92,1,0.7%,109,141,2595,34843,Or Yehuda
90,0,0.0%,30,47,1362,18930,Ganei Tikva
89,0,0.0%,38,44,410,6724,Kfar Habad
88,0,0.0%,11,49,1773,43144,Tayibe
88,0,0.0%,34,39,676,5713,Kiryat Ye'arim
86,1,1.9%,37,53,906,18510,Giv'at Ze'ev
85,0,0.0%,10,15,638,5851,Pekiin
83,0,0.0%,33,79,2759,55324,Umm el-Fahm
81,0,0.0%,9,15,248,7373,Katzrin
77,0,0.0%,23,31,1351,10414,Daburiyya
68,0,0.0%,24,32,638,11819,Azur
65,0,0.0%,92,140,4663,73979,Ra'anana
62,0,0.0%,2,16,1089,22449,Kafr Kanna
60,0,0.0%,27,45,1226,30185,Ofakim
56,2,2.9%,52,72,1451,35671,Zefat
55,0,0.0%,24,35,985,20041,Shoham
54,2,1.2%,104,175,5786,130523,Bat Yam
53,0,0.0%,24,31,911,13263,Even Yehuda
53,1,1.7%,25,59,2276,64649,Rahat
49,0,0.0%,29,41,1103,24538,Giv'at Shmuel
47,0,0.0%,197,262,6703,139032,Ashkelon
46,0,0.0%,44,55,888,23691,Kiryat Malakhi
45,0,0.0%,126,191,7908,143370,Ramat Gan
45,0,0.0%,27,37,746,22341,Zikhron Ya'akov
45,0,0.0%,43,54,1962,24633,Gedera
43,1,0.4%,188,285,8296,225073,Ashdod
43,0,0.0%,57,89,2673,75038,Lod
43,0,0.0%,28,51,2480,53965,Rosh Ha'ayin
43,0,0.0%,7,17,1116,23517,Kafr Qasim
42,0,0.0%,90,101,1667,26058,Migdal HaEmek
41,0,0.0%,67,79,1540,29104,Yehud
40,0,0.0%,37,52,1741,37112,Kiryat Ono
40,0,0.0%,37,52,2119,37469,Ma'ale Adumim
40,0,0.0%,30,52,1771,55400,Kiryat Gat
35,3,1.7%,112,180,9104,196755,Be'er Sheva
34,0,0.0%,36,52,1902,46596,Carmiel
33,0,0.0%,14,22,979,24216,Be'er Ya'akov
31,0,0.0%,7,17,1225,32089,Sakhnin
31,0,0.0%,209,284,10565,242478,Petah Tikva
31,0,0.0%,24,32,983,25891,Sderot
31,2,0.4%,399,537,19504,450192,Tel Aviv - Yafo
30,0,0.0%,20,33,1861,43811,Nof Ha'Galil
29,0,0.0%,49,64,2156,50886,Afula
29,0,0.0%,9,15,575,20831,Kadima Zoran
26,3,2.9%,81,105,3711,90900,Herzliya
25,0,0.0%,96,118,3925,87108,Modi'in-Maccabim-Re'ut
25,0,0.0%,20,23,944,11910,Jatt
25,1,2.3%,34,45,1835,44896,Ramat HaSharon
24,0,0.0%,134,178,7273,185741,Holon
23,0,0.0%,11,16,651,21301,Kfar Yona
23,0,0.0%,20,29,1821,39556,Kiryat Yam
23,0,0.0%,10,15,632,22152,Kiryat Shmona
22,0,0.0%,13,18,633,22243,Tirat Carmel
22,1,5.9%,12,18,648,26763,Arad
22,1,4.3%,14,24,1517,45714,Ness Ziona
22,0,0.0%,29,41,2253,55123,Givatayim
21,0,0.0%,14,21,1222,33792,Tamra
21,0,0.0%,14,20,1241,29035,Baqa al-Gharbiya
20,0,0.0%,171,219,9055,241010,Rishon Lezion
20,1,0.6%,113,167,9796,272584,Haifa
20,0,0.0%,18,28,2106,50872,Acre
20,0,0.0%,54,73,3426,97412,Kfar Saba
18,0,0.0%,30,38,1589,45555,Yavne
17,0,0.0%,140,177,6741,213971,Netanya
17,0,0.0%,45,58,2615,75246,Ramla
17,0,0.0%,11,18,1269,40622,Pardes Hanna-Karkur
15,0,0.0%,97,118,5263,137178,Rehovot
13,0,0.0%,24,27,823,22410,Gan Yavne
13,0,0.0%,14,17,566,22711,Yokneam
12,0,0.0%,33,40,2932,58750,Nahariya
12,0,0.0%,35,42,1702,59171,Hod HaSharon
12,0,0.0%,10,19,1493,78252,Nazareth
11,0,0.0%,41,51,3549,94104,Hadera
11,2,8.7%,19,25,1303,56568,Eilat
11,0,0.0%,19,25,1607,57108,Kiryat Ata
10,0,0.0%,13,17,1482,39262,Kiryat Bialik
9,0,0.0%,13,15,1261,23093,Mevaseret Zion
6,0,0.0%,26,28,1399,35377,Dimona
