"Actual morbidity rate ** per 100,000",Number of verified patients added in the last 3 days,The growth rate of patients is verified in the last 3 days,A number of recoverers,Verified,Several tests so far,Population as of 2018,City
765,3,2.4%,-,130,1213,16983,Hura
587,0,0.0%,78,151,4493,12435,Dyer al-Assad
442,18,0.6%,2031,2894,29338,195298,Bnei Brak
226,0,0.0%,10,19,248,3974,Ali
192,0,0.0%,10,18,226,4175,Yavneel
188,0,0.0%,299,387,4675,46760,El'ad
183,4,1.0%,277,412,4986,73808,Modi'in Illit
180,0,0.0%,19,34,1681,8355,Bi'ina
177,6,1.2%,300,514,5838,120812,Beit Shemesh
160,0,0.0%,18,26,322,4991,Mitzpe Ramon
159,0,0.0%,198,292,3119,59240,Beitar Illit
140,5,5.2%,50,101,1805,36511,Netivot
134,24,0.7%,2410,3635,58806,914559,Jerusalem
122,0,0.0%,51,64,1087,10676,Efrat
114,0,0.0%,6,16,363,8737,Harish
106,0,0.0%,120,167,3780,44353,Tiberias
105,0,0.0%,50,59,625,8602,Kokhav Ya'akov
92,1,5.3%,6,20,1872,15275,Majd al-Krum
92,2,10.5%,5,21,754,17465,Ar'arat an-Naqab
89,0,0.0%,38,44,424,6724,Kfar Habad
88,0,0.0%,34,39,695,5713,Kiryat Ye'arim
85,0,0.0%,10,15,655,5851,Pekiin
76,0,0.0%,16,49,1906,43144,Tayibe
76,0,0.0%,31,40,563,11841,Rechasim
75,0,0.0%,32,43,2213,14732,Jasser a-Zarqa
75,2,1.4%,117,143,2868,34843,Or Yehuda
74,0,0.0%,33,47,1435,18930,Ganei Tikva
70,0,0.0%,41,54,989,18510,Giv'at Ze'ev
69,0,0.0%,42,80,2882,55324,Umm el-Fahm
68,0,0.0%,10,15,276,7373,Katzrin
61,0,0.0%,95,140,4922,73979,Ra'anana
53,0,0.0%,24,31,950,13263,Even Yehuda
51,2,3.3%,29,62,2389,64649,Rahat
51,0,0.0%,26,32,685,11819,Azur
51,0,0.0%,110,176,6323,130523,Bat Yam
50,0,0.0%,25,35,1053,20041,Shoham
46,1,1.8%,45,56,974,23691,Kiryat Malakhi
46,2,3.9%,28,53,2678,53965,Rosh Ha'ayin
45,0,0.0%,56,72,1592,35671,Zefat
43,1,0.5%,130,191,8636,143370,Ramat Gan
41,1,2.4%,32,42,1173,24538,Giv'at Shmuel
40,0,0.0%,7,16,1154,22449,Kafr Kanna
40,1,1.9%,31,53,1955,55400,Kiryat Gat
40,0,0.0%,207,262,7415,139032,Ashkelon
38,0,0.0%,27,31,1405,10414,Daburiyya
38,1,1.3%,69,80,1631,29104,Yehud
37,0,0.0%,45,54,2219,24633,Gedera
36,1,0.4%,205,286,9052,225073,Ashdod
35,0,0.0%,39,52,1894,37112,Kiryat Ono
35,0,0.0%,39,52,2227,37469,Ma'ale Adumim
35,1,0.5%,117,185,9827,196755,Be'er Sheva
35,0,0.0%,89,98,1739,26058,Migdal HaEmek
34,0,0.0%,9,17,1186,23517,Kafr Qasim
33,0,0.0%,64,89,2943,75038,Lod
31,0,0.0%,7,17,1310,32089,Sakhnin
31,0,0.0%,24,32,1071,25891,Sderot
29,1,2.2%,34,47,2157,44896,Ramat HaSharon
29,2,0.7%,220,290,11361,242478,Petah Tikva
29,0,0.0%,9,15,630,20831,Kadima Zoran
28,2,0.4%,418,546,21204,450192,Tel Aviv - Yafo
28,0,0.0%,97,121,4181,87108,Modi'in-Maccabim-Re'ut
28,1,1.6%,51,65,2474,50886,Afula
27,0,0.0%,21,33,2026,43811,Nof Ha'Galil
27,0,0.0%,12,18,701,22243,Tirat Carmel
27,0,0.0%,31,37,813,22341,Zikhron Ya'akov
27,0,0.0%,37,45,1351,30185,Ofakim
26,1,5.6%,12,19,714,26763,Arad
25,0,0.0%,82,105,3991,90900,Herzliya
24,0,0.0%,13,24,1637,45714,Ness Ziona
24,1,1.9%,42,53,2237,46596,Carmiel
23,0,0.0%,11,16,724,21301,Kfar Yona
23,0,0.0%,20,29,1936,39556,Kiryat Yam
23,1,0.6%,139,181,7823,185741,Holon
21,0,0.0%,15,22,1352,33792,Tamra
18,0,0.0%,11,15,745,22152,Kiryat Shmona
18,0,0.0%,19,28,2254,50872,Acre
18,0,0.0%,30,38,1723,45555,Yavne
17,0,0.0%,57,74,4143,97412,Kfar Saba
17,0,0.0%,45,58,2910,75246,Ramla
17,0,0.0%,21,23,985,11910,Jatt
17,0,0.0%,179,219,9713,241010,Rishon Lezion
17,0,0.0%,18,22,1059,24216,Be'er Ya'akov
17,1,0.6%,125,170,11178,272584,Haifa
15,1,0.6%,145,178,7372,213971,Netanya
15,0,0.0%,33,41,2442,55123,Givatayim
14,2,1.7%,102,121,5716,137178,Rehovot
13,0,0.0%,24,27,879,22410,Gan Yavne
13,0,0.0%,12,17,1590,39262,Kiryat Bialik
12,0,0.0%,13,18,1453,40622,Pardes Hanna-Karkur
12,0,0.0%,35,42,1846,59171,Hod HaSharon
12,0,0.0%,10,19,1600,78252,Nazareth
10,0,0.0%,17,20,1315,29035,Baqa al-Gharbiya
10,0,0.0%,42,51,4001,94104,Hadera
9,0,0.0%,20,25,1394,56568,Eilat
9,0,0.0%,20,25,1835,57108,Kiryat Ata
9,1,2.5%,36,41,3171,58750,Nahariya
6,0,0.0%,26,28,1691,35377,Dimona
4,0,0.0%,16,17,625,22711,Yokneam
4,0,0.0%,14,15,1357,23093,Mevaseret Zion
